Time,STREET,RESIDENCE,APARTMENT,SIDEWALK,OTHER,PARKING LOT/GARAGE(NON.RESID.),ALLEY,"SCHOOL, PUBLIC, BUILDING",RESIDENCE-GARAGE,RESIDENCE PORCH/HALLWAY,SMALL RETAIL STORE,VEHICLE NON-COMMERCIAL,RESTAURANT,GROCERY FOOD STORE,DEPARTMENT STORE,GAS STATION,RESIDENTIAL YARD (FRONT/BACK),CHA PARKING LOT/GROUNDS,PARK PROPERTY,COMMERCIAL / BUSINESS OFFICE,CTA PLATFORM,CHA APARTMENT,BAR OR TAVERN,DRUG STORE,"SCHOOL, PUBLIC, GROUNDS",HOTEL/MOTEL,BANK,CHA HALLWAY/STAIRWELL/ELEVATOR,VACANT LOT/LAND,CTA TRAIN,TAVERN/LIQUOR STORE,CTA BUS,HOSPITAL BUILDING/GROUNDS,DRIVEWAY - RESIDENTIAL,POLICE FACILITY/VEH PARKING LOT,AIRPORT/AIRCRAFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,CONVENIENCE STORE,GOVERNMENT BUILDING/PROPERTY,"SCHOOL, PRIVATE, BUILDING",NURSING HOME/RETIREMENT HOME,CONSTRUCTION SITE,ABANDONED BUILDING,CURRENCY EXCHANGE,CTA GARAGE / OTHER PROPERTY,WAREHOUSE,ATHLETIC CLUB,BARBERSHOP,ATM (AUTOMATIC TELLER MACHINE),TAXICAB,MEDICAL/DENTAL OFFICE,FACTORY/MANUFACTURING BUILDING,LIBRARY,CTA BUS STOP,OTHER RAILROAD PROP / TRAIN DEPOT,COLLEGE/UNIVERSITY GROUNDS,VEHICLE-COMMERCIAL,SPORTS ARENA/STADIUM,CLEANING STORE,"SCHOOL, PRIVATE, GROUNDS",AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,CTA STATION,OTHER COMMERCIAL TRANSPORTATION,CAR WASH,DAY CARE CENTER,MOVIE HOUSE/THEATER,APPLIANCE STORE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,COLLEGE/UNIVERSITY RESIDENCE HALL,AUTO,LAKEFRONT/WATERFRONT/RIVERBANK,COIN OPERATED MACHINE,JAIL / LOCK-UP FACILITY,FIRE STATION,HIGHWAY/EXPRESSWAY,DELIVERY TRUCK,POOL ROOM,AIRPORT VENDING ESTABLISHMENT,FEDERAL BUILDING,ANIMAL HOSPITAL,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,BOWLING ALLEY,AIRPORT EXTERIOR - NON-SECURE AREA,BOAT/WATERCRAFT,AIRPORT PARKING LOT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,AIRCRAFT,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,HOUSE,PAWN SHOP,CREDIT UNION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,FOREST PRESERVE,BRIDGE,SAVINGS AND LOAN,VEHICLE - OTHER RIDE SERVICE,CEMETARY,PORCH,AIRPORT EXTERIOR - SECURE AREA,NEWSSTAND,YARD,PARKING LOT,VACANT LOT,HALLWAY,AIRPORT TRANSPORTATION SYSTEM (ATS),CTA TRACKS - RIGHT OF WAY,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,RETAIL STORE,VEHICLE - DELIVERY TRUCK,GANGWAY,GARAGE,GAS STATION DRIVE/PROP.,CHA PARKING LOT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",CHA GROUNDS,CHA HALLWAY,TAVERN,BASEMENT,AUTO / BOAT / RV DEALERSHIP,VESTIBULE,STAIRWELL,DRIVEWAY,HOTEL,CLUB,OFFICE,RAILROAD PROPERTY,BARBER SHOP/BEAUTY SALON,SCHOOL YARD,GARAGE/AUTO REPAIR,CHA STAIRWELL,TRUCK,DUMPSTER,CHURCH,TAXI CAB,CHA LOBBY,LIQUOR STORE,HOSPITAL,NURSING HOME,WOODED AREA,MOTEL,RIVER,CTA PROPERTY,"CTA ""L"" PLATFORM",YMCA,TRAILER,CHA BREEZEWAY,SEWER,COACH HOUSE,CHA PLAY LOT,RIVER BANK,LAKE,PRAIRIE,"CTA ""L"" TRAIN",COUNTY JAIL,FACTORY,ROOMING HOUSE,LAUNDRY ROOM,PUBLIC HIGH SCHOOL,LIVERY STAND OFFICE,CHURCH PROPERTY,CHA ELEVATOR,EXPRESSWAY EMBANKMENT,LIVERY AUTO,LAGOON,TRUCKING TERMINAL,ELEVATOR,LOADING DOCK,PUBLIC GRAMMAR SCHOOL,POOLROOM,FUNERAL PARLOR,BANQUET HALL,JUNK YARD/GARBAGE DUMP,GOVERNMENT BUILDING,CLEANERS/LAUNDROMAT
2017,1724242,1106833,670566,648076,247781,187701,146805,139601,128422,114355,113643,104289,99986,84583,80083,69127,65188,55016,50716,47791,35516,35468,34261,29711,28156,26829,26631,24710,23410,22307,21405,20878,19396,19042,16709,16075,14430,14398,13674,12913,12748,12572,10910,10451,9709,8990,7695,7509,7202,6964,6896,6659,5761,5666,5584,5495,5187,4778,4666,3948,3617,2960,2809,2669,2588,2441,1710,1467,1329,1078,1049,1011,1004,976,971,962,835,816,744,722,670,637,634,630,608,566,561,526,503,487,470,463,378,365,339,337,334,274,240,226,189,147,97,82,81,75,71,70,66,64,50,43,40,39,38,35,34,30,23,17,17,16,16,15,14,13,12,11,9,8,8,7,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2018,1724242,1106833,670566,648076,247781,187701,146805,139601,128422,114355,113643,104289,99986,84583,80083,69127,65188,55016,50716,47791,35516,35468,34261,29711,28156,26829,26631,24710,23410,22307,21405,20878,19396,19042,16709,16075,14430,14398,13674,12913,12748,12572,10910,10451,9709,8990,7695,7509,7202,6964,6896,6659,5761,5666,5584,5495,5187,4778,4666,3948,3617,2960,2809,2669,2588,2441,1710,1467,1329,1078,1049,1011,1004,976,971,962,835,816,744,722,670,637,634,630,608,566,561,526,503,487,470,463,378,365,339,337,334,274,240,226,189,147,97,82,81,75,71,70,66,64,50,43,40,39,38,35,34,30,23,17,17,16,16,15,14,13,12,11,9,8,8,7,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
